LOCATION,DRAWINGNUM,CONTRACTNUM,PROJECTNUM,PROJECTMGR,ORIGINATOR,TITLE,COMMENTS,DATE
10,187,406-25,,Tom Tomeoni,Tom Tomeoni,Lagoon Area Study,NULL,1989-12-20 00:00:00.000
10,189,030325S/987527,NULL,Moe Hurtado,Penfield And Smith  Stantec,Los Carneros Fiber Optics Conduit,NULL,2002-12-18 00:00:00.000
10,191," 070167S",NULL,Mark Peppers,Mark Peppers,Low Pressure Drop Filter Installation,NULL,2006-09-20 00:00:00.000
10,192,FM090074L/986080,NULL,Frank Castanha,Stantec,Infrastructure Renewal,NULL,2018-04-27 00:00:00.000
10,194,NULL,NULL,Telli Foster,Penfield And Smith  Stantec,Plan And Profile East Gate Existing Utility Crossing,NULL,2007-04-26 00:00:00.000
10,196,,NULL,Joe Van Thyne,Penfield And Smith  Stantec,Project Zero,NULL,2011-05-09 00:00:00.000
10,197,150512L/986080,NULL,Telli Foster,Penfield And Smith  Stantec,Infrastructure Renewal Project Phase 1B,NULL,2015-08-17 00:00:00.000
11,146,,NULL,Paul Gawronik,SB Grounds And Bldgs,Campus Water Supply System Pressure Reducing Valve Stations Modifications,NULL,1964-03-26 00:00:00.000
11,165,860409B/UT240,NULL,Bud Julian,Flowers And Associates,Water Main Replacement University Road At Campbell Hall,NULL,1987-06-01 00:00:00.000
11,166,920431L/986056,NULL,Ray Aronson,Penfield And Smith  Stantec,Main Campus Water Loop Improvements,NULL,1993-09-01 00:00:00.000
11,167,010470S/100-30,NULL,Robert  Muhr,Penfield And Smith  Stantec,Exterior Water Line Replacements,NULL,2001-02-16 00:00:00.000
11,169,050018S/984697,NULL,Erich Brown,Penfield And Smith  Stantec,"Construction Plans For
San Clemente Waterline Relocation",NULL,2004-08-20 00:00:00.000
11,170,NULL,NULL,Ray Aronson,Penfield And Smith  Stantec,Sedgwick Reserve Water Main Extension,NULL,2006-12-08 00:00:00.000
11,171,140220S/981160,NULL,Ray Aronson,Penfield And Smith  Stantec,Sedgwick Reserve Water Line Master Plan,NULL,2013-10-29 00:00:00.000
11,172,NULL,NULL,Mark Irwin,DKal Engineering,Santa Cruz Fire Waterline 2015,NULL,2016-09-13 00:00:00.000
11,173,170101BR/078-99,NULL,George Levinthal,Penfield And Smith  Stantec,Parking Lot 38 Fire Hydrant Project,NULL,2016-09-23 00:00:00.000
12,151,FM060224S/981350,NULL,Ray Aronson,Questa Engineering,UCSB Sedgwick Reserve Wastewater Treatment Project,NULL,2006-06-07 00:00:00.000
13,140,990209L/986031,NULL,Ray Aronson,Penfield And Smith  Stantec,Sewer System Renewal Project,NULL,1999-10-27 00:00:00.000
13,142,NULL,NULL,Ray Aronson,Cdm Smith,Mesa Road Trunk Sewer,NULL,2015-05-07 00:00:00.000
13,143,Unknown,NULL,Ulysses McKeown,unknown,Sewer line replacement project adjacent to Santa Rosa Residence Hall,NULL,2020-11-17 00:00:00.000
13,144,unknown,NULL,Ashley Monseur,Housing,DLG Housing Offices Broken Sewer Line Reroute,NULL,2016-07-13 00:00:00.000
15,122,960096S,NULL,Art Mazenek,Kenneth Beisser,Lpg Plant Demolition,NULL,1995-07-20 00:00:00.000
15,123,010605S/100-58,NULL,Robert  Muhr,Penfield And Smith  Stantec,Exterior Gas Line Replacements,NULL,2001-03-22 00:00:00.000
16,130,1000006S/986140,NULL,Erich Brown,Schaaf  And Wheller,Phelps Creek Stormwater Oufalls,NULL,2009-07-07 00:00:00.000
